sec,fargo,desert,maine,modernBaseball,nyny,pnw,texas
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
12,0,0,84,0,24,0,0
49,0,0,223,84,76,0,26
110,64,0,347,157,217,0,136
155,254,158,421,220,322,9,105
245,374,322,439,246,177,50,285
243,448,456,399,189,335,283,302
282,466,478,308,495,198,376,99
247,427,553,176,14,284,420,259
226,335,508,37,67,126,411,176
105,202,407,0,20,0,345,173
0,32,260,0,0,0,232,37
0,0,90,0,0,0,95,3
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
30,0,0,98,5,57,0,0
103,0,0,243,168,199,0,31
206,22,0,361,99,336,0,73
330,125,47,434,102,508,17,163
332,20,332,450,289,546,162,344
377,102,466,411,210,522,228,702
442,239,547,318,117,439,139,727
293,229,164,184,85,304,430,684
303,11,134,41,252,137,419,571
130,193,247,0,82,0,297,403
0,12,139,0,0,0,152,199
0,0,99,0,0,0,104,17
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
76,0,0,101,17,102,0,0
279,0,0,246,55,274,0,24
465,43,0,365,170,423,0,55
605,40,167,437,227,523,31,143
685,196,338,454,299,551,169,173
688,137,476,415,161,529,302,138
631,66,559,322,155,445,397,147
511,150,579,189,162,305,436,194
335,66,536,45,64,139,424,204
138,28,428,0,21,0,358,95
0,12,278,0,0,0,247,25
0,0,102,0,0,0,108,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
71,0,0,61,5,41,0,0
264,0,0,233,6,162,0,20
448,16,0,254,59,317,0,43
581,8,167,383,44,427,34,145
658,191,335,303,95,436,125,217
667,114,468,270,89,507,288,239
611,232,549,303,68,322,406,311
491,324,570,116,29,226,450,257
322,265,528,42,23,127,438,197
134,46,427,0,84,0,372,215
1,25,278,0,0,0,258,59
0,0,104,0,0,0,114,5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
72,0,0,107,8,97,0,0
228,0,0,257,106,266,0,20
343,40,0,377,317,411,0,119
451,102,175,451,398,509,34,303
501,233,355,468,387,550,173,220
374,235,495,428,354,522,302,266
411,473,580,328,343,436,395,321
261,436,593,195,241,301,439,603
58,345,550,50,134,138,433,564
30,103,447,0,35,0,367,330
0,64,294,0,0,0,196,151
0,0,114,0,0,0,116,20
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
13,0,0,68,21,49,0,0
80,0,0,230,180,98,0,67
97,119,0,347,207,291,0,271
445,271,52,419,483,20,38,468
455,394,298,439,562,348,183,619
228,470,129,401,167,518,320,712
184,490,351,214,532,441,417,737
299,451,597,186,426,309,462,689
319,359,554,47,269,147,445,577
133,224,451,0,95,0,378,409
2,42,298,0,0,0,265,206
0,0,117,0,0,0,121,22
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
78,0,0,113,21,109,0,0
273,0,0,262,184,282,0,11
425,37,17,384,357,430,0,52
590,81,181,459,492,530,27,127
669,233,356,477,573,570,183,136
679,167,496,437,590,548,323,183
615,103,580,343,543,464,414,271
506,308,602,207,436,328,459,155
339,334,559,57,281,158,448,107
144,171,456,0,103,0,382,86
3,69,303,0,0,0,269,35
0,0,121,0,0,0,125,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
69,0,0,114,22,111,0,0
272,0,0,225,178,288,0,22
402,6,19,308,297,437,0,78
594,20,187,411,393,538,29,93
675,46,365,408,358,571,192,155
684,41,504,360,503,548,330,154
624,155,589,305,207,465,427,222
430,156,611,210,186,329,473,249
216,114,569,42,52,160,462,218
102,69,465,0,90,0,395,105
2,37,311,0,0,0,280,12
0,0,127,0,0,0,133,12
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16,0,0,75,12,69,0,0
265,0,0,244,115,219,0,20
459,31,11,362,160,335,0,162
603,113,196,347,222,327,27,287
683,382,377,83,357,427,125,474
695,456,520,239,272,449,333,723
635,369,607,293,228,334,432,753
514,354,617,151,183,213,472,712
208,351,574,38,226,63,461,599
62,222,470,0,102,0,15,433
1,46,316,0,0,0,281,227
0,0,131,0,0,0,71,30
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
88,0,0,32,27,25,0,0
288,0,0,77,196,131,0,78
474,73,13,141,370,158,0,291
614,269,198,197,505,239,27,494
691,389,380,179,578,397,191,648
705,360,523,234,597,268,277,744
650,480,610,198,551,235,385,771
531,444,633,68,445,221,408,721
360,355,578,29,287,104,452,606
160,151,474,0,110,0,387,435
6,76,320,0,0,0,275,227
0,0,135,0,0,0,132,30
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
84,0,0,89,13,122,0,0
280,0,0,232,141,294,0,73
466,42,14,391,251,443,0,280
606,85,202,464,425,543,23,477
686,131,384,482,567,585,165,633
696,291,527,444,585,562,255,728
641,480,614,358,538,474,336,755
524,443,637,223,434,339,171,708
353,355,594,70,280,169,377,594
154,192,489,0,107,16,205,427
6,49,332,0,0,0,215,223
0,0,140,0,0,0,111,31
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
